channel_Title,video_id,Title,Thumbnail_url,Published_date,Views,Likes,Comment_count,video_url
MySirG.com,F8ZI0gZ-Fzc,Structure Introduction in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/F8ZI0gZ-Fzc/mqdefault.jpg,2022-09-27,15933,711,71,https://www.youtube.com/embed/F8ZI0gZ-Fzc
MySirG.com,OUFOCyW7HqU,C language LIVE community classes from tomorrow @saurabhexponent1,https://i.ytimg.com/vi/OUFOCyW7HqU/mqdefault.jpg,2022-09-26,13102,1393,33,https://www.youtube.com/embed/OUFOCyW7HqU
MySirG.com,vyGvdtLm1d4,Why DSA seems difficult?,https://i.ytimg.com/vi/vyGvdtLm1d4/mqdefault.jpg,2022-09-23,17710,2286,49,https://www.youtube.com/embed/vyGvdtLm1d4
MySirG.com,P_H4ccgi73c,C Language LIVE Community Classes Stage-3 Announcement,https://i.ytimg.com/vi/P_H4ccgi73c/mqdefault.jpg,2022-09-22,8741,597,100,https://www.youtube.com/embed/P_H4ccgi73c
MySirG.com,DjxFTs4ZuU8,Meet My Teacher | Teacher's Day Special | @UCd-HN6ZBWIFJdG6KSLATd6g,https://i.ytimg.com/vi/DjxFTs4ZuU8/mqdefault.jpg,2022-09-05,11507,602,43,https://www.youtube.com/embed/DjxFTs4ZuU8
MySirG.com,mLvdnHKY220,Tum kaun ho?,https://i.ytimg.com/vi/mLvdnHKY220/mqdefault.jpg,2022-08-27,16075,1141,50,https://www.youtube.com/embed/mLvdnHKY220
MySirG.com,5mbQuIr6f8o,Number Shifting Game Project in C,https://i.ytimg.com/vi/5mbQuIr6f8o/mqdefault.jpg,2022-08-21,17975,727,46,https://www.youtube.com/embed/5mbQuIr6f8o
MySirG.com,KFZ3Eftp8lo,Loops in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/KFZ3Eftp8lo/mqdefault.jpg,2022-08-12,22129,771,45,https://www.youtube.com/embed/KFZ3Eftp8lo
MySirG.com,qgNnf1GMLxc,Yeh channel dekha kya?,https://i.ytimg.com/vi/qgNnf1GMLxc/mqdefault.jpg,2022-08-12,9062,658,44,https://www.youtube.com/embed/qgNnf1GMLxc
MySirG.com,-Po6d6Zm3cE,Decision Control in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/-Po6d6Zm3cE/mqdefault.jpg,2022-08-11,18929,665,25,https://www.youtube.com/embed/-Po6d6Zm3cE
MySirG.com,2D7uw4ghr88,"Keywords, Operators and User input in Python | LIVE Community Classes | MySirG",https://i.ytimg.com/vi/2D7uw4ghr88/mqdefault.jpg,2022-08-10,24794,912,30,https://www.youtube.com/embed/2D7uw4ghr88
MySirG.com,ppKaxLop79c,Variables and Types in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/ppKaxLop79c/mqdefault.jpg,2022-08-09,32357,1319,56,https://www.youtube.com/embed/ppKaxLop79c
MySirG.com,MpEldU7Z_Wc,Introduction to Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/MpEldU7Z_Wc/mqdefault.jpg,2022-08-08,67838,2482,140,https://www.youtube.com/embed/MpEldU7Z_Wc
Hitesh Choudhary,Hb5rh9vXNyY,Social Media Revolution Launch,https://i.ytimg.com/vi/Hb5rh9vXNyY/mqdefault.jpg,2023-04-01,4277,475,157,https://www.youtube.com/embed/Hb5rh9vXNyY
Hitesh Choudhary,ItKjzteWXFg,#harpaymentdigital is a great initiative by RBI. It’s a milestone by India,https://i.ytimg.com/vi/ItKjzteWXFg/mqdefault.jpg,2023-03-24,4838,515,14,https://www.youtube.com/embed/ItKjzteWXFg
Hitesh Choudhary,5Qlep9sKuX4,Project 6 | What next to build in React Native,https://i.ytimg.com/vi/5Qlep9sKuX4/mqdefault.jpg,2023-03-23,3414,84,9,https://www.youtube.com/embed/5Qlep9sKuX4
Hitesh Choudhary,-4jSSxoGOSs,"Here is an security first, open source password manager. #passbolt",https://i.ytimg.com/vi/-4jSSxoGOSs/mqdefault.jpg,2023-03-22,5874,250,6,https://www.youtube.com/embed/-4jSSxoGOSs
Hitesh Choudhary,bIJASPiSKS4,Handling errors in Haptic Feedback in React Native,https://i.ytimg.com/vi/bIJASPiSKS4/mqdefault.jpg,2023-03-20,1415,58,6,https://www.youtube.com/embed/bIJASPiSKS4
